Round,Heat,Sail Number,Skipper Name,Club,Observer
Q8,Heat 3,223,Philip Wells,Eagleby Radio Yacht Club,
Q8,Heat 3,69,Bruce Benoit,Illawarra Radio Yacht Club,
Q8,Heat 3,71,Sean Wallis,Champion Lakes,
Q8,Heat 3,35,John Levy,Nelson Radio Yacht Squadron,
Q8,Heat 3,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q8,Heat 3,189,Graham Payn,Lake Macquarie Radio Yacht Club,
Q8,Heat 3,137,Paul Bergamini,Gladstone Radio Control Yacht Club,
Q8,Heat 3,28,David Moll,Illawarra Radio Yacht Club,
Q8,Heat 3,24,Chris Woods,Champion Lakes,
Q8,Heat 3,00,Andrew Holly,NSW Northern Mariners,
Q8,Heat 3,34,Aaron Farrar,Gladstone Radio Control Yacht Club,
Q8,Heat 3,133,Peter Mccully,North Shore Radio Yacht Squadron,
Q8,Heat 3,97,Derick Warne,Sunshine Coast Radio Sailing Club,
Q8,Heat 3,37,Ian Gordon,Springfield Lakes Radio Yacht Club,
Q8,Heat 3,46,Mark Beneke,Fraser Coast Radio Yacht Club,
Q8,Heat 3,48,Paul Jones,Lake Macquarie Radio Yacht Club,
Q9,Heat 1,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q9,Heat 1,67,Garry Roberts,North Shore Radio Yacht Squadron,
Q9,Heat 1,137,Paul Bergamini,Gladstone Radio Control Yacht Club,
Q9,Heat 1,181,Gary Mccarthy,Wynnum Manly Radio Model Yacht Club,
Q9,Heat 1,187,Andrew C Wilson,Eagleby Radio Yacht Club,
Q9,Heat 1,34,Aaron Farrar,Gladstone Radio Control Yacht Club,
Q9,Heat 1,07,Bruce Deane,Eagleby Radio Yacht Club,
Q9,Heat 1,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q9,Heat 1,36,Andrew Crocker,Albert Park Model Yacht Club,
Q9,Heat 1,37,Ian Gordon,Springfield Lakes Radio Yacht Club,
Q9,Heat 1,133,Peter Mccully,North Shore Radio Yacht Squadron,
Q9,Heat 1,24,Chris Woods,Champion Lakes,
Q9,Heat 1,223,Philip Wells,Eagleby Radio Yacht Club,
Q9,Heat 1,58,Bob Senior,North Shore Radio Yacht Squadron,
Q9,Heat 1,73,Will Thomson,Wynnum Manly Radio Model Yacht Club,
Q9,Heat 1,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q9,Heat 1,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q9,Heat 2,41,Robert Mews,Champion Lakes,
Q9,Heat 2,11,Wayne Keavy,Kogarah Bay Radio Yacht Club,
Q9,Heat 2,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q9,Heat 2,69,Bruce Benoit,Illawarra Radio Yacht Club,
Q9,Heat 2,271,Ben Thorburn,Gladstone Radio Control Yacht Club,
Q9,Heat 2,02,Lindsay Walker,Kogarah Bay Radio Yacht Club,
Q9,Heat 2,10,Murray Walker,Springfield Lakes Radio Yacht Club,
Q9,Heat 2,48,Paul Jones,Lake Macquarie Radio Yacht Club,
Q9,Heat 2,35,John Levy,Nelson Radio Yacht Squadron,
Q9,Heat 2,168,Lester Pearson,Illawarra Radio Yacht Club,
Q9,Heat 2,91,Peter Sherwood,Eagleby Radio Yacht Club,
Q9,Heat 2,28,David Moll,Illawarra Radio Yacht Club,
Q9,Heat 2,78,Brent Cowan,Pegasus Radio Sailing Club,
Q9,Heat 2,135,Graham Cowling,Paradise Radio Yacht Club,
Q9,Heat 2,23,Philip Pryde,NZL Northern Maritime Model Society,
Q9,Heat 2,81,Graham Clough,North Shore Radio Yacht Squadron,
Q9,Heat 3,97,Derick Warne,Sunshine Coast Radio Sailing Club,
Q9,Heat 3,46,Mark Beneke,Fraser Coast Radio Yacht Club,
Q9,Heat 3,141,Michael Bourke,North Brisbane Radio Yacht Club,
Q9,Heat 3,39,Mark Wilson,Lake Macquarie Radio Yacht Club,
Q9,Heat 3,189,Graham Payn,Lake Macquarie Radio Yacht Club,
Q9,Heat 3,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q9,Heat 3,09,Daniel Bergan,Paradise Radio Yacht Club,
Q9,Heat 3,50,Grant Hudson,Redlands Radio Sailing Club,
Q9,Heat 3,00,Andrew Holly,NSW Northern Mariners,
Q9,Heat 3,40,Garth Halton,North Brisbane Radio Yacht Club,
Q9,Heat 3,124,John Glease,Lake Macquarie Radio Yacht Club,
Q9,Heat 3,66,Roger Paul,Champion Lakes,
Q9,Heat 3,60,Glen Fitzgerald,North Brisbane Radio Yacht Club,
Q9,Heat 3,65,Vince Zweers,Illawarra Radio Yacht Club,
Q9,Heat 3,71,Sean Wallis,Champion Lakes,
Q9,Heat 3,86,Stephen Elkington,Redlands Radio Sailing Club,
Q10,Heat 1,48,Paul Jones,Lake Macquarie Radio Yacht Club,
Q10,Heat 1,35,John Levy,Nelson Radio Yacht Squadron,
Q10,Heat 1,86,Stephen Elkington,Redlands Radio Sailing Club,
Q10,Heat 1,37,Ian Gordon,Springfield Lakes Radio Yacht Club,
Q10,Heat 1,69,Bruce Benoit,Illawarra Radio Yacht Club,
Q10,Heat 1,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q10,Heat 1,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q10,Heat 1,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q10,Heat 1,81,Graham Clough,North Shore Radio Yacht Squadron,
Q10,Heat 1,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q10,Heat 1,133,Peter Mccully,North Shore Radio Yacht Squadron,
Q10,Heat 1,66,Roger Paul,Champion Lakes,
Q10,Heat 1,91,Peter Sherwood,Eagleby Radio Yacht Club,
Q10,Heat 1,189,Graham Payn,Lake Macquarie Radio Yacht Club,
Q10,Heat 1,07,Bruce Deane,Eagleby Radio Yacht Club,
Q10,Heat 1,09,Daniel Bergan,Paradise Radio Yacht Club,
Q10,Heat 1,28,David Moll,Illawarra Radio Yacht Club,
Q10,Heat 2,73,Will Thomson,Wynnum Manly Radio Model Yacht Club,
Q10,Heat 2,40,Garth Halton,North Brisbane Radio Yacht Club,
Q10,Heat 2,41,Robert Mews,Champion Lakes,
Q10,Heat 2,58,Bob Senior,North Shore Radio Yacht Squadron,
Q10,Heat 2,97,Derick Warne,Sunshine Coast Radio Sailing Club,
Q10,Heat 2,50,Grant Hudson,Redlands Radio Sailing Club,
Q10,Heat 2,71,Sean Wallis,Champion Lakes,
Q10,Heat 2,39,Mark Wilson,Lake Macquarie Radio Yacht Club,
Q10,Heat 2,168,Lester Pearson,Illawarra Radio Yacht Club,
Q10,Heat 2,78,Brent Cowan,Pegasus Radio Sailing Club,
Q10,Heat 2,223,Philip Wells,Eagleby Radio Yacht Club,
Q10,Heat 2,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q10,Heat 2,181,Gary Mccarthy,Wynnum Manly Radio Model Yacht Club,
Q10,Heat 2,00,Andrew Holly,NSW Northern Mariners,
Q10,Heat 2,11,Wayne Keavy,Kogarah Bay Radio Yacht Club,
Q10,Heat 2,23,Philip Pryde,NZL Northern Maritime Model Society,
Q10,Heat 3,36,Andrew Crocker,Albert Park Model Yacht Club,
Q10,Heat 3,187,Andrew C Wilson,Eagleby Radio Yacht Club,
Q10,Heat 3,46,Mark Beneke,Fraser Coast Radio Yacht Club,
Q10,Heat 3,24,Chris Woods,Champion Lakes,
Q10,Heat 3,65,Vince Zweers,Illawarra Radio Yacht Club,
Q10,Heat 3,141,Michael Bourke,North Brisbane Radio Yacht Club,
Q10,Heat 3,34,Aaron Farrar,Gladstone Radio Control Yacht Club,
Q10,Heat 3,135,Graham Cowling,Paradise Radio Yacht Club,
Q10,Heat 3,67,Garry Roberts,North Shore Radio Yacht Squadron,
Q10,Heat 3,124,John Glease,Lake Macquarie Radio Yacht Club,
Q10,Heat 3,60,Glen Fitzgerald,North Brisbane Radio Yacht Club,
Q10,Heat 3,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q10,Heat 3,137,Paul Bergamini,Gladstone Radio Control Yacht Club,
Q10,Heat 3,271,Ben Thorburn,Gladstone Radio Control Yacht Club,
Q10,Heat 3,02,Lindsay Walker,Kogarah Bay Radio Yacht Club,
Q10,Heat 3,10,Murray Walker,Springfield Lakes Radio Yacht Club,
