Round,Heat,Sail Number,Skipper Name,Club,Observer
Q2,Heat 2,66,Roger Paul,Champion Lakes,
Q2,Heat 2,86,Stephen Elkington,Redlands Radio Sailing Club,
Q2,Heat 2,91,Peter Sherwood,Eagleby Radio Yacht Club,
Q2,Heat 2,135,Graham Cowling,Paradise Radio Yacht Club,
Q2,Heat 2,137,Paul Bergamini,Gladstone Radio Control Yacht Club,
Q2,Heat 2,181,Gary Mccarthy,Wynnum Manly Radio Model Yacht Club,
Q2,Heat 2,187,Andrew C Wilson,Eagleby Radio Yacht Club,
Q2,Heat 3,09,Daniel Bergan,Paradise Radio Yacht Club,
Q2,Heat 3,10,Murray Walker,Springfield Lakes Radio Yacht Club,
Q2,Heat 3,34,Aaron Farrar,Gladstone Radio Control Yacht Club,
Q2,Heat 3,35,John Levy,Nelson Radio Yacht Squadron,
Q2,Heat 3,41,Robert Mews,Champion Lakes,
Q2,Heat 3,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q2,Heat 3,60,Glen Fitzgerald,North Brisbane Radio Yacht Club,
Q2,Heat 3,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q2,Heat 3,71,Sean Wallis,Champion Lakes,
Q2,Heat 3,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q2,Heat 3,78,Brent Cowan,Pegasus Radio Sailing Club,
Q2,Heat 3,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q2,Heat 3,124,John Glease,Lake Macquarie Radio Yacht Club,
Q2,Heat 3,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q2,Heat 3,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q2,Heat 3,223,Philip Wells,Eagleby Radio Yacht Club,
Q3,Heat 1,81,Graham Clough,North Shore Radio Yacht Squadron,
Q3,Heat 1,02,Lindsay Walker,Kogarah Bay Radio Yacht Club,
Q3,Heat 1,07,Bruce Deane,Eagleby Radio Yacht Club,
Q3,Heat 1,24,Chris Woods,Champion Lakes,
Q3,Heat 1,28,David Moll,Illawarra Radio Yacht Club,
Q3,Heat 1,39,Mark Wilson,Lake Macquarie Radio Yacht Club,
Q3,Heat 1,40,Garth Halton,North Brisbane Radio Yacht Club,
Q3,Heat 1,50,Grant Hudson,Redlands Radio Sailing Club,
Q3,Heat 1,58,Bob Senior,North Shore Radio Yacht Squadron,
Q3,Heat 1,67,Garry Roberts,North Shore Radio Yacht Squadron,
Q3,Heat 1,69,Bruce Benoit,Illawarra Radio Yacht Club,
Q3,Heat 1,78,Brent Cowan,Pegasus Radio Sailing Club,
Q3,Heat 1,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q3,Heat 1,124,John Glease,Lake Macquarie Radio Yacht Club,
Q3,Heat 1,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q3,Heat 1,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q3,Heat 1,223,Philip Wells,Eagleby Radio Yacht Club,
Q3,Heat 2,271,Ben Thorburn,Gladstone Radio Control Yacht Club,
Q3,Heat 2,00,Andrew Holly,NSW Northern Mariners,
Q3,Heat 2,09,Daniel Bergan,Paradise Radio Yacht Club,
Q3,Heat 2,23,Philip Pryde,NZL Northern Maritime Model Society,
Q3,Heat 2,34,Aaron Farrar,Gladstone Radio Control Yacht Club,
Q3,Heat 2,37,Ian Gordon,Springfield Lakes Radio Yacht Club,
Q3,Heat 2,41,Robert Mews,Champion Lakes,
Q3,Heat 2,48,Paul Jones,Lake Macquarie Radio Yacht Club,
Q3,Heat 2,60,Glen Fitzgerald,North Brisbane Radio Yacht Club,
Q3,Heat 2,66,Roger Paul,Champion Lakes,
Q3,Heat 2,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q3,Heat 2,187,Andrew C Wilson,Eagleby Radio Yacht Club,
Q3,Heat 2,97,Derick Warne,Sunshine Coast Radio Sailing Club,
Q3,Heat 2,133,Peter Mccully,North Shore Radio Yacht Squadron,
Q3,Heat 2,141,Michael Bourke,North Brisbane Radio Yacht Club,
Q3,Heat 2,168,Lester Pearson,Illawarra Radio Yacht Club,
Q3,Heat 3,189,Graham Payn,Lake Macquarie Radio Yacht Club,
Q3,Heat 3,11,Wayne Keavy,Kogarah Bay Radio Yacht Club,
Q3,Heat 3,10,Murray Walker,Springfield Lakes Radio Yacht Club,
Q3,Heat 3,36,Andrew Crocker,Albert Park Model Yacht Club,
Q3,Heat 3,35,John Levy,Nelson Radio Yacht Squadron,
Q3,Heat 3,46,Mark Beneke,Fraser Coast Radio Yacht Club,
Q3,Heat 3,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q3,Heat 3,65,Vince Zweers,Illawarra Radio Yacht Club,
Q3,Heat 3,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q3,Heat 3,73,Will Thomson,Wynnum Manly Radio Model Yacht Club,
Q3,Heat 3,71,Sean Wallis,Champion Lakes,
Q3,Heat 3,86,Stephen Elkington,Redlands Radio Sailing Club,
Q3,Heat 3,91,Peter Sherwood,Eagleby Radio Yacht Club,
Q3,Heat 3,135,Graham Cowling,Paradise Radio Yacht Club,
Q3,Heat 3,137,Paul Bergamini,Gladstone Radio Control Yacht Club,
Q3,Heat 3,181,Gary Mccarthy,Wynnum Manly Radio Model Yacht Club,
Q4,Heat 1,181,Gary Mccarthy,Wynnum Manly Radio Model Yacht Club,
Q4,Heat 1,187,Andrew C Wilson,Eagleby Radio Yacht Club,
Q4,Heat 1,97,Derick Warne,Sunshine Coast Radio Sailing Club,
Q4,Heat 1,81,Graham Clough,North Shore Radio Yacht Squadron,
Q4,Heat 1,24,Chris Woods,Champion Lakes,
Q4,Heat 1,28,David Moll,Illawarra Radio Yacht Club,
Q4,Heat 1,41,Robert Mews,Champion Lakes,
Q4,Heat 1,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q4,Heat 1,48,Paul Jones,Lake Macquarie Radio Yacht Club,
Q4,Heat 1,65,Vince Zweers,Illawarra Radio Yacht Club,
Q4,Heat 1,66,Roger Paul,Champion Lakes,
Q4,Heat 1,73,Will Thomson,Wynnum Manly Radio Model Yacht Club,
Q4,Heat 1,10,Murray Walker,Springfield Lakes Radio Yacht Club,
Q4,Heat 1,09,Daniel Bergan,Paradise Radio Yacht Club,
Q4,Heat 1,40,Garth Halton,North Brisbane Radio Yacht Club,
Q4,Heat 1,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q4,Heat 1,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q4,Heat 2,223,Philip Wells,Eagleby Radio Yacht Club,
Q4,Heat 2,271,Ben Thorburn,Gladstone Radio Control Yacht Club,
Q4,Heat 2,86,Stephen Elkington,Redlands Radio Sailing Club,
Q4,Heat 2,78,Brent Cowan,Pegasus Radio Sailing Club,
Q4,Heat 2,23,Philip Pryde,NZL Northern Maritime Model Society,
Q4,Heat 2,71,Sean Wallis,Champion Lakes,
Q4,Heat 2,91,Peter Sherwood,Eagleby Radio Yacht Club,
Q4,Heat 2,46,Mark Beneke,Fraser Coast Radio Yacht Club,
Q4,Heat 2,50,Grant Hudson,Redlands Radio Sailing Club,
Q4,Heat 2,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q4,Heat 2,67,Garry Roberts,North Shore Radio Yacht Squadron,
Q4,Heat 2,34,Aaron Farrar,Gladstone Radio Control Yacht Club,
Q4,Heat 2,11,Wayne Keavy,Kogarah Bay Radio Yacht Club,
Q4,Heat 2,07,Bruce Deane,Eagleby Radio Yacht Club,
Q4,Heat 2,133,Peter Mccully,North Shore Radio Yacht Squadron,
Q4,Heat 2,141,Michael Bourke,North Brisbane Radio Yacht Club,
Q4,Heat 3,168,Lester Pearson,Illawarra Radio Yacht Club,
Q4,Heat 3,189,Graham Payn,Lake Macquarie Radio Yacht Club,
